id,driver,rider,state,time
0,jmorissette@hackett-russel.com,erdmanethelene@gmail.com,FAIL,2016-06-02 04:55:58
1,nkuphal@von.biz,johnstonmilas@kunze.org,FAIL,2016-06-20 21:13:34
2,okunevarenada@cummings-bahringer.com,wolftrevor@gmail.com,SUCCESS,2016-06-17 10:12:33
3,daisha86@buckridge-ankunding.biz,dlakin@auer.com,FAIL,2016-06-18 17:39:47
4,birdieharris@gmail.com,ywillms@runolfsdottir.net,SUCCESS,2016-06-10 13:32:17
5,luann19@yahoo.com,gussieparisian@gmail.com,SUCCESS,2016-06-06 10:19:02
6,myrtle65@ward.com,konnerborer@yahoo.com,SUCCESS,2016-06-01 15:14:50
7,butler40@yahoo.com,severtmarvin@gmail.com,SUCCESS,2016-06-14 21:16:34
8,eve52@gmail.com,maricela50@welch-veum.com,SUCCESS,2016-06-07 17:57:00
9,nlynch@schneider.org,jeancrist@hotmail.com,SUCCESS,2016-06-16 06:45:08
10,scollins@wuckert.biz,esmitham@hotmail.com,SUCCESS,2016-06-20 16:48:18
11,twunsch@gmail.com,gbechtelar@gulgowski.net,SUCCESS,2016-06-14 22:27:05
12,zharber@yahoo.com,mcclurenia@sauer-lockman.com,SUCCESS,2016-06-15 20:13:43
13,winifred10@bosco-haag.com,mbayer@yahoo.com,SUCCESS,2016-06-20 10:24:29
14,windlerchristiana@kuphal.com,hestercorkery@schneider-wintheiser.net,SUCCESS,2016-06-02 04:35:50
15,lelaconn@klein.com,beadie45@aufderhar.com,SUCCESS,2016-06-11 20:03:16
16,nancy46@gmail.com,cassiniva@gmail.com,SUCCESS,2016-06-02 15:53:48
17,yandeldach@haag.org,christie38@yahoo.com,SUCCESS,2016-06-02 14:06:29
18,jovannyaufderhar@hotmail.com,esmitham@hotmail.com,SUCCESS,2016-06-11 14:28:17
19,bertrandmccullough@schneider.biz,ingeborghessel@gmail.com,FAIL,2016-06-09 16:07:48
20,tdenesik@welch.com,bebe96@yahoo.com,SUCCESS,2016-06-19 01:01:54
21,stokescharley@bernhard.com,dashawnweber@hotmail.com,SUCCESS,2016-06-17 22:19:34
22,gravesolson@bauch.com,kohleriva@nikolaus.info,SUCCESS,2016-06-11 15:27:40
23,mmcglynn@schoen.net,ekohler@gmail.com,SUCCESS,2016-06-19 06:39:23
24,butler40@yahoo.com,dmuller@goodwin-stroman.com,SUCCESS,2016-06-12 01:28:45
25,juliette15@huel.org,qgusikowski@gmail.com,SUCCESS,2016-06-08 11:10:41
26,shelly17@oconner.net,gloverjarvis@yahoo.com,SUCCESS,2016-06-20 07:36:08
27,carloschultz@gmail.com,jessicaswift@yahoo.com,SUCCESS,2016-06-07 22:16:54
28,karis05@gmail.com,toybraeden@cronin-weissnat.com,SUCCESS,2016-06-06 06:53:39
29,carrollmelodee@koepp-grant.com,hackettdavina@gmail.com,SUCCESS,2016-06-03 09:26:54
30,arutherford@yahoo.com,blanchweimann@hotmail.com,SUCCESS,2016-06-06 22:20:51
31,konopelskiangel@walker.org,tyeortiz@ernser.org,SUCCESS,2016-06-04 12:48:52
32,kimberley19@gmail.com,hkshlerin@yahoo.com,FAIL,2016-06-12 22:20:28
33,blynch@goodwin.com,arvo65@rolfson.com,SUCCESS,2016-06-04 11:35:25
34,lon13@yahoo.com,offieoconner@gmail.com,FAIL,2016-06-18 22:19:08
35,xhuel@jaskolski.info,kuhnaletha@predovic.com,FAIL,2016-06-09 19:05:15
36,gbradtke@hotmail.com,shanahanrandel@schaden.com,SUCCESS,2016-06-04 12:22:17
37,hodkiewiczkevan@muller.net,dottiewehner@jacobi-purdy.net,FAIL,2016-06-20 12:33:09
38,nancy46@gmail.com,welchcoolidge@yahoo.com,SUCCESS,2016-06-19 23:14:40
39,bradtkeolena@gmail.com,lbeahan@hotmail.com,FAIL,2016-06-20 06:58:35
40,torreyemmerich@grady.org,gutmannmanda@waters-west.info,SUCCESS,2016-06-16 14:48:59
41,samara25@rodriguez.com,romadurgan@hotmail.com,SUCCESS,2016-06-02 02:50:08
42,collinsflint@yahoo.com,tyshawn34@yahoo.com,FAIL,2016-06-14 15:55:07
43,reatha86@hotmail.com,palomaterry@hotmail.com,SUCCESS,2016-06-18 22:50:01
44,ullrichstorm@bauch.com,fishertenisha@dicki.com,SUCCESS,2016-06-04 20:18:22
45,goodwingorge@yahoo.com,hermanedwina@koch.com,SUCCESS,2016-06-13 04:28:36
46,windlerchristiana@kuphal.com,kpaucek@labadie-kerluke.com,FAIL,2016-06-01 23:02:16
